title,price_block,floor,layout,area,location,address,access,built_year,shiki,rei,link,score
札幌市電 静修学園前駅 5階建 築8年,"8.1万円
管理費等 5,000円",5階,2LDK,57.96m2,中央区南十七条西8,北海道札幌市中央区南十七条西8,静修学園前駅/札幌市電 徒歩2分 / 山鼻１９条駅/札幌市電 徒歩7分,築8年/地上5階建て/鉄筋コンクリート,8.1万円,なし,https://realestate.yahoo.co.jp/rent/detail/_000002565659be5a4d0236e355dad04440e4c8086639/,1
札幌市電 中島公園通駅 5階建 築5年,"5.7万円
管理費等 5,000円",4階,1LDK,32.4m2,中央区南十一条西8,北海道札幌市中央区南十一条西8,中島公園通駅/札幌市電 徒歩3分 / 山鼻９条駅/札幌市電 徒歩7分,築5年/地上5階建て/鉄筋コンクリート,5.7万円,なし,https://realestate.yahoo.co.jp/rent/detail/_000005116706cacf749ed96b4ab5381c54a102bb52ef/,1
札幌市電 中島公園通駅 5階建 築5年,"6万円
管理費等 5,000円",3階,1LDK,37.71m2,中央区南十一条西8,北海道札幌市中央区南十一条西8,中島公園通駅/札幌市電 徒歩3分 / 山鼻９条駅/札幌市電 徒歩7分,築5年/地上5階建て/鉄筋コンクリート,6万円,なし,https://realestate.yahoo.co.jp/rent/detail/_000005116706074f88c5092a51029b894bb77823917c/,1
STUDIO中島公園,"5.7万円
管理費等 5,000円",4階,1LDK,32.4m2,中央区南十一条西8,北海道札幌市中央区南十一条西8,中島公園通駅/札幌市電 徒歩3分 / 山鼻９条駅/札幌市電 徒歩7分,築6年/地上5階建て/鉄筋コンクリート,5.7万円,なし,https://realestate.yahoo.co.jp/rent/detail/000005322125cacf749ed96b4ab5381c54a102bb52ef/,1
STUDIO中島公園,"5.7万円
管理費等 5,000円",4階,1LDK,32.26m2,中央区南十一条西8,北海道札幌市中央区南十一条西8,中島公園通駅/札幌市電 徒歩3分 / 山鼻９条駅/札幌市電 徒歩7分,築6年/地上5階建て/鉄筋コンクリート,5.7万円,なし,https://realestate.yahoo.co.jp/rent/detail/00000532212554b12270b38a1f4caac0f91ed2d4b472/,1
函館本線 桑園駅 5階建 築16年,"7.8万円
管理費等 5,000円",3階,2LDK,59.24m2,中央区北十二条西16,北海道札幌市中央区北十二条西16,桑園駅/函館本線 徒歩3分 / 札幌駅/函館本線 徒歩20分,築16年/地上5階建て/鉄筋コンクリート,7.8万円,なし,https://realestate.yahoo.co.jp/rent/detail/_00000238253475ae5c091e341dfe11d4925ca5d6735a/,1
函館本線 桑園駅 5階建 築16年,"7.8万円
管理費等 6,000円",3階,2LDK,59.24m2,中央区北十二条西16,北海道札幌市中央区北十二条西16,桑園駅/函館本線 徒歩3分 / 札幌駅/函館本線 徒歩20分,築16年/地上5階建て/鉄筋コンクリート,7.8万円,なし,https://realestate.yahoo.co.jp/rent/detail/_00000238253431b8128627cf1028686dc7ac54b656ba/,1
札幌市営地下鉄南北線 幌平橋駅 12階建 築19年,"5.5万円
管理費等 5,000円",6階,1LDK,35.26m2,中央区南十四条西1,北海道札幌市中央区南十四条西1,幌平橋駅/札幌市営地下鉄南北線 徒歩3分 / 中島公園駅/札幌市営地下鉄南北線 徒歩10分,築19年/地上12階建て/鉄筋コンクリート,5.5万円,なし,https://realestate.yahoo.co.jp/rent/detail/_0000009212459ae934d29be488efbe017b7f05c258fc/,1
札幌市営地下鉄南北線 幌平橋駅 12階建 築19年,"6万円
管理費等 5,000円",11階,1LDK,35.26m2,中央区南十四条西1,北海道札幌市中央区南十四条西1,幌平橋駅/札幌市営地下鉄南北線 徒歩3分 / 中島公園駅/札幌市営地下鉄南北線 徒歩10分,築19年/地上12階建て/鉄筋コンクリート,6万円,なし,https://realestate.yahoo.co.jp/rent/detail/_000000921245b11c319455b263ace61b27b6d99604ef/,1
札幌市営地下鉄南北線 北１８条駅 8階建 築36年,"3.9万円
管理費等 5,000円",2階,1K,25m2,北区北十七条西4,北海道札幌市北区北十七条西4,北１８条駅/札幌市営地下鉄南北線 徒歩1分以内 / 北１２条駅/札幌市営地下鉄南北線 徒歩9分,築36年/地上8階建て/鉄筋コンクリート,3.9万円,なし,https://realestate.yahoo.co.jp/rent/detail/_0000036965926904ad288165065a74ac668bad0d222f/,1
札幌市営地下鉄南北線 北１８条駅 8階建 築36年,"3.8万円
管理費等 5,000円",6階,1K,25m2,北区北十七条西4,北海道札幌市北区北十七条西4,北１８条駅/札幌市営地下鉄南北線 徒歩1分以内 / 北１２条駅/札幌市営地下鉄南北線 徒歩9分,築36年/地上8階建て/鉄筋コンクリート,3.8万円,なし,https://realestate.yahoo.co.jp/rent/detail/_000003696592e0d63156a0246c90f3b15b0aca820b55/,1
スペチアーレ麻生,"7.6万円
管理費等 6,000円",7階,1LDK,38.28m2,北区麻生町5,北海道札幌市北区麻生町5,麻生駅/札幌市営地下鉄南北線 徒歩2分 / 新琴似駅/札沼線 徒歩4分,築9年/地上10階建て/鉄筋コンクリート,7.6万円,なし,https://realestate.yahoo.co.jp/rent/detail/00000111212274bdd6ca14365164ef43883c2524195b/,1
スペチアーレ麻生,"8万円
管理費等 6,000円",10階,1LDK,39.18m2,北区麻生町5,北海道札幌市北区麻生町5,麻生駅/札幌市営地下鉄南北線 徒歩2分 / 新琴似駅/札沼線 徒歩4分,築9年/地上10階建て/鉄筋コンクリート,8万円,なし,https://realestate.yahoo.co.jp/rent/detail/000001112122ed69ad5ad95d2897fd0ce84942014501/,1
光道力,"4.6万円
管理費等 5,000円",3階,1LDK,38.47m2,北区麻生町3,北海道札幌市北区麻生町3,麻生駅/札幌市営地下鉄南北線 徒歩2分 / 新琴似駅/札沼線 徒歩6分,築22年/地上5階建て/鉄骨,4.6万円,なし,https://realestate.yahoo.co.jp/rent/detail/00000267121109e02732cc79a6931da58e561486cf68/,1
Jビル,"4.7万円
管理費等 6,000円",5階,1LDK,34m2,北区北二十三条西5,北海道札幌市北区北二十三条西5,北２４条駅/札幌市営地下鉄南北線 徒歩2分,築29年/地上8階建て/鉄骨,4.7万円,なし,https://realestate.yahoo.co.jp/rent/detail/0000082488172aed49ae67dc52f4c2d7632a83117a6e/,1
札幌市営地下鉄南北線 北２４条駅 4階建 築13年,"5.7万円
管理費等 3,000円",2階,1LDK,38.04m2,北区北二十二条西5,北海道札幌市北区北二十二条西5,北２４条駅/札幌市営地下鉄南北線 徒歩4分 / 北１８条駅/札幌市営地下鉄南北線 徒歩11分,築13年/地上4階建て/鉄筋コンクリート,5.7万円,なし,https://realestate.yahoo.co.jp/rent/detail/_0000012381029ffda98b4662b3f7b548ddd1baf71586/,1
メゾンクレスト北大前,"3.4万円
管理費等 4,000円",4階,ワンルーム,21.56m2,北区北十九条西4,北海道札幌市北区北十九条西4,北１８条駅/札幌市営地下鉄南北線 徒歩4分 / 北２４条駅/札幌市営地下鉄南北線 徒歩10分,築37年/地上8階建て/鉄筋コンクリート,3.4万円,なし,https://realestate.yahoo.co.jp/rent/detail/000001473179cac95f0ca84c4834be5733d805985f19/,1
オークハウス27,"4.5万円
管理費等 2,000円",2階,1LDK,33.71m2,北区北二十七条西15,北海道札幌市北区北二十七条西15,新川駅/札沼線 徒歩5分 / 八軒駅/札沼線 徒歩18分,築8年/地上2階建て/その他,4.5万円,なし,https://realestate.yahoo.co.jp/rent/detail/000002186120b39f2ecb40f1101714384bea9b705877/,1
オークハウス27,"4.4万円
管理費等 2,000円",1階,1LDK,33.71m2,北区北二十七条西15,北海道札幌市北区北二十七条西15,新川駅/札沼線 徒歩5分 / 八軒駅/札沼線 徒歩18分,築8年/地上2階建て/その他,4.4万円,なし,https://realestate.yahoo.co.jp/rent/detail/00000218612058305410b18991ca7eee46cf88fdee79/,1
